"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"1172","Logs (","","uncovered","Logs","src/components/crm/CustomerRepairTimeline.tsx:440; src/components/followup/CompletedDeviceFollowUpModule.tsx:554"
"1173","Lookup","","uncovered","Lookup","src/components/inventory/InventoryManagementModule.tsx:1148"
"1174","low stock","","uncovered","low stock","src/components/ai/AiDiagnosticAssistantModal.tsx:477"
"1175","MacBook","","uncovered","MacBook","src/components/devices/DevicesManagementModule.tsx:688"
"1176","Manage Active Payment Gateways & Myanmar Banks","","uncovered","Manage Active Payment Gateways Myanmar Banks","src/components/settings/SystemManagementSettingsModule.tsx:2133"
"1177","Manage device models, repair categories, folder organization, and global price rules","","uncovered","Manage device models repair categories folder organization and global price rules","src/components/prices/PriceSettingsModal.tsx:425"
"1178","Manage part supplier profiles, codes, contact info, and RMA lead times","","uncovered","Manage part supplier profiles codes contact info and RMA lead times","src/components/suppliers/SupplierRmaModule.tsx:355"
"1179","Managing outstanding unpaid invoices to parts suppliers to protect shop credit rating","","uncovered","Managing outstanding unpaid invoices to parts suppliers protect shop credit rating","src/components/finance/ShopFinancePlModule.tsx:884"
"1180","Mandatory Find My / iCloud Lock Check","","uncovered","Mandatory Find My iCloud Lock Check","src/components/settings/SystemManagementSettingsModule.tsx:2053"
"1181","Mandatory post-repair 21-hardware test re-inspection for finished devices in QA control before customer pickup","","uncovered","Mandatory post repair hardware test re inspection for finished devices in QA control before customer pickup","src/components/qa/QualityAssuranceModule.tsx:216"
"1182","Mark Settled","","uncovered","Mark Settled","src/components/finance/ShopFinancePlModule.tsx:1235"
"1183","Match the original device color","","uncovered","Match the original device color","src/components/inventory/InventoryManagementModule.tsx:1615"
"1184","Matrix","","uncovered","Matrix","src/components/inventory/InventoryManagementModule.tsx:911"
"1185","Message Preview:","","uncovered","Message Preview","src/components/common/CustomerNotificationModal.tsx:212"
"1186","Method","","uncovered","Method","src/components/pos/PosInvoicingModule.tsx:1209"
"1187","Micro-Soldering (board-level) jobs","","uncovered","Micro Soldering board level jobs","src/components/settings/SystemManagementSettingsModule.tsx:3492"
"1188","Micro-Soldering & Logic Board Diagnostic Module","","uncovered","Micro Soldering Logic Board Diagnostic Module","src/components/microsoldering/MicroSolderingModule.tsx:88"
"1189","Min:","","uncovered","Min","src/components/inventory/InventoryManagementModule.tsx:1262; src/components/inventory/InventoryManagementModule.tsx:1879"
"1190","Miscellaneous","","uncovered","Miscellaneous","src/components/finance/ShopFinancePlModule.tsx:1001"
"1191","MMK (Myanmar Kyat)","","uncovered","MMK Myanmar Kyat","src/components/settings/SystemManagementSettingsModule.tsx:2084"
"1192","MMK Credit","","uncovered","MMK Credit","src/components/suppliers/SupplierRmaModule.tsx:286"
"1193","Mo","","uncovered","Mo","src/components/common/DateFilterSelector.tsx:315"
"1194","Mobile-first view for assigned repair pipeline only, QA diagnostic checklists, adding repair logs/status changes, and device repair history. Cannot delete anything.","","uncovered","Mobile first view for assigned repair pipeline only QA diagnostic checklists adding logs status changes and device history Cannot delete anything","src/components/settings/SystemManagementSettingsModule.tsx:1099"
"1195","Mode:","","uncovered","Mode","src/components/common/DeviceTagPrinterModal.tsx:971"
"1196","models","","uncovered","models","src/components/inventory/InventoryManagementModule.tsx:1552; src/components/prices/PriceSettingsModal.tsx:1010"
"1197","models ·","","uncovered","models","src/components/inventory/InventoryManagementModule.tsx:1445"
"1198","models)","","uncovered","models","src/components/prices/PriceSettingsModal.tsx:1075"
"1199","more tickets assigned","","uncovered","more tickets assigned","src/components/dashboard/TechnicianPerformanceTab.tsx:296"
"1200","Most-repaired device models ranked by ticket volume","","uncovered","Most repaired device models ranked by ticket volume","src/components/dashboard/DashboardOverview.tsx:1380"
"1201","Multi-Method","","uncovered","Multi Method","src/components/pos/PosInvoicingModule.tsx:864"
"1202","Multimeter Diode Mode Voltage Drop Readings","","uncovered","Multimeter Diode Mode Voltage Drop Readings","src/components/microsoldering/MicroSolderingModule.tsx:181"
"1203","Must reconcile cleanly with daily opening/closing register","","uncovered","Must reconcile cleanly with daily opening closing register","src/components/finance/ShopFinancePlModule.tsx:509"
"1204","Navy","","uncovered","Navy","src/components/settings/SystemManagementSettingsModule.tsx:1660"
"1205","Nearing end period","","uncovered","Nearing end period","src/components/dashboard/DashboardOverview.tsx:1771"
"1206","Nearing Expiry (&le;14d)","","uncovered","Nearing Expiry le d","src/components/dashboard/DashboardOverview.tsx:1757"
"1207","Nearing Expiry:","","uncovered","Nearing Expiry","src/components/dashboard/DashboardOverview.tsx:1976"
"1208","Needs Diag","","uncovered","Needs Diag","src/components/devices/DevicesManagementModule.tsx:442"
"1209","Net Formula:","","uncovered","Net Formula","src/components/finance/ShopFinancePlModule.tsx:471"
"1210","of","","uncovered","of","src/components/common/RecycleBinModal.tsx:215; src/components/inventory/InventoryManagementModule.tsx:1378"
"1211","On Leave","","uncovered","On Leave","src/components/settings/SystemManagementSettingsModule.tsx:3448"
"1212","Only Admin users can delete repair tickets","","uncovered","Only Admin users can delete repair tickets","src/components/pipeline/StatusPipelineView.tsx:784"
"1213","Operations Copilot","","uncovered","Operations Copilot","src/components/ai/AiDiagnosticAssistantModal.tsx:463"
"1214","Operations Copilot chat","","uncovered","Operations Copilot chat","src/components/ai/AiDiagnosticAssistantModal.tsx:456"
"1215","Option to charge Diagnostic / Inspection fee only before handing back device.","","uncovered","Option to charge Diagnostic Inspection fee only before handing back device","src/components/pos/PosInvoicingModule.tsx:571"
"1216","Or type custom warranty reason...","","uncovered","Or type custom warranty reason","src/components/inventory/InventoryManagementModule.tsx:2194"
"1217","or visit","","uncovered","or visit","src/components/portal/CustomerFacingWebPortal.tsx:300"
"1218","Orange","","uncovered","Orange","src/components/settings/SystemManagementSettingsModule.tsx:1653"
"1219","Order","","uncovered","Order","src/components/pos/PosInvoicingModule.tsx:1201"
"1220","Other reason","","uncovered","Other reason","src/components/portal/CustomerFacingWebPortal.tsx:1040"
"1221","Our technicians have completed the initial diagnostic inspection for your","","uncovered","Our technicians have completed the initial diagnostic inspection for your","src/components/portal/CustomerFacingWebPortal.tsx:388"
"1222","Out of 5.0 rating","","uncovered","Out of rating","src/components/followup/CompletedDeviceFollowUpModule.tsx:319"
"1223","Owner","","uncovered","Owner","src/components/devices/DevicesManagementModule.tsx:585"
"1224","Palette Colors","","uncovered","Palette Colors","src/components/settings/SystemManagementSettingsModule.tsx:1635"
"1225","Palette)","","uncovered","Palette","src/components/intake/CreateTicketSoloPage.tsx:796"
"1226","parts","","uncovered","parts","src/components/inventory/InventoryManagementModule.tsx:1378; src/components/inventory/InventoryManagementModule.tsx:2932; src/components/settings/SystemManagementSettingsModule.tsx:2509; src/components/settings/SystemManagementSettingsModule.tsx:2539"
"1227","parts this period","","uncovered","parts this period","src/components/finance/ShopFinancePlModule.tsx:1279"
"1228","parts)","","uncovered","parts","src/components/inventory/InventoryManagementModule.tsx:2877"
"1229","Pass","","uncovered","Pass","src/components/intake/CreateTicketSoloPage.tsx:1092; src/components/intake/CreateTicketSoloPage.tsx:1157; src/components/pipeline/StatusPipelineView.tsx:1243; src/components/qa/QualityAssuranceModule.tsx:425"
"1230","Pass:","","uncovered","Pass","src/components/common/DeviceTagPrinterModal.tsx:913; src/components/pipeline/StatusPipelineView.tsx:1196"
"1231","Passcode","","uncovered","Passcode","src/components/devices/DevicesManagementModule.tsx:573; src/components/devices/DevicesManagementModule.tsx:746"
"1232","Passcode / PIN","","uncovered","Passcode PIN","src/components/intake/CreateTicketSoloPage.tsx:921"
"1233","Passcode:","","uncovered","Passcode","src/components/crm/CustomerRepairTimeline.tsx:343"
"1234","Payee:","","uncovered","Payee","src/components/finance/ShopFinancePlModule.tsx:728"
"1235","Payment & Financial Summary","","uncovered","Payment Financial Summary","src/components/portal/CustomerFacingWebPortal.tsx:665"
"1236","per completed job","","uncovered","per completed job","src/components/dashboard/TechnicianDetailModal.tsx:117"
"1237","Per repair work order","","uncovered","Per repair work order","src/components/dashboard/DashboardOverview.tsx:1700"
"1238","Period","","uncovered","Period","src/components/finance/ShopFinancePlModule.tsx:824"
"1239","Period totals (real ticket data)","","uncovered","Period totals real ticket data","src/components/dashboard/TechnicianDetailModal.tsx:158"
"1240","Ph:","","uncovered","Ph","src/components/common/DeviceTagPrinterModal.tsx:898"
"1241","Pick the stock part used on this ticket before payment.","","uncovered","Pick the stock part used on this ticket before payment","src/components/pos/PosInvoicingModule.tsx:681"
"1242","Please select a device model first above to view specific repair services, catalog prices, and apply discounts.","","uncovered","Please select a device model first above to view specific repair services catalog prices and apply discounts","src/components/intake/CreateTicketSoloPage.tsx:956"
"1243","PNG, JPG, SVG or WEBP up to 2MB","","uncovered","PNG JPG SVG or WEBP up to MB","src/components/settings/SystemManagementSettingsModule.tsx:1296"
"1244","Portal Simulator","","uncovered","Portal Simulator","src/components/crm/CrmCustomerPortalModule.tsx:167"
"1245","POS Register","","uncovered","POS Register","src/components/dashboard/DashboardOverview.tsx:1686"
"1246","Positive feedback","","uncovered","Positive feedback","src/components/followup/CompletedDeviceFollowUpModule.tsx:308"
"1247","Post-Repair QA Verification","","uncovered","Post Repair QA Verification","src/components/qa/QualityAssuranceModule.tsx:349"
"1248","Power Line","","uncovered","Power Line","src/components/microsoldering/MicroSolderingModule.tsx:221"
"1249","Power Line (e.g. PP_VCC_MAIN)","","uncovered","Power Line e g PP VCC MAIN","src/components/microsoldering/MicroSolderingModule.tsx:190"
"1250","priced services","","uncovered","priced services","src/components/prices/QuickPriceCalculatorModal.tsx:388"
"1251","Proceed (Soft Override)","","uncovered","Proceed Soft Override","src/components/pipeline/StatusPipelineView.tsx:1401"
"1252","Processing…","","uncovered","Processing","src/components/pos/PosInvoicingModule.tsx:1134"
"1253","Profit","","uncovered","Profit","src/components/finance/ShopFinancePlModule.tsx:1323; src/components/inventory/InventoryManagementModule.tsx:899"
"1254","Prompt technicians to record screen passcodes for post-repair diagnostic testing.","","uncovered","Prompt technicians to record screen passcodes for post repair diagnostic testing","src/components/settings/SystemManagementSettingsModule.tsx:2041"
"1255","Protected (","","uncovered","Protected","src/components/dashboard/DashboardOverview.tsx:1987"
"1256","Provider","","uncovered","Provider","src/components/settings/SystemManagementSettingsModule.tsx:915"
"1257","Purchase","","uncovered","Purchase","src/components/inventory/InventoryManagementModule.tsx:1284"
"1258","Purchase Orders","","uncovered","Purchase Orders","src/components/suppliers/SupplierRmaModule.tsx:197"
"1259","Purchase Orders (POs)","","uncovered","Purchase Orders POs","src/components/suppliers/SupplierRmaModule.tsx:313"
"1260","Push to Ticket Intake","","uncovered","Push to Ticket Intake","src/components/prices/QuickPriceCalculatorModal.tsx:659"
"1261","QA & Diagnostic Workflow Governance","","uncovered","QA Diagnostic Workflow Governance","src/components/settings/SystemManagementSettingsModule.tsx:3260"
"1262","QA Control • Zero Defect Standard","","uncovered","QA Control Zero Defect Standard","src/components/qa/QualityAssuranceModule.tsx:220"
"1263","QA Pass","","uncovered","QA Pass","src/components/dashboard/TechnicianLeaderboardView.tsx:104"
"1264","QA Pass Rate","","uncovered","QA Pass Rate","src/components/dashboard/TechnicianDetailModal.tsx:121"
"1265","QA Queue","","uncovered","QA Queue","src/components/qa/QualityAssuranceModule.tsx:228"
"1266","Qty","","uncovered","Qty","src/components/common/PrintableInvoiceModal.tsx:334; src/components/portal/CustomerFacingWebPortal.tsx:754; src/components/pos/PosInvoicingModule.tsx:600; src/components/pos/PosInvoicingModule.tsx:728"
"1267","Question regarding parts quality tier","","uncovered","Question regarding parts quality tier","src/components/portal/CustomerFacingWebPortal.tsx:1039"
"1268","Queue imbalanced — reassign 1–2 tickets from","","uncovered","Queue imbalanced reassign tickets from","src/components/dashboard/DashboardOverview.tsx:1481"
"1269","Quick click templates below","","uncovered","Quick click templates below","src/components/followup/CompletedDeviceFollowUpModule.tsx:727"
"1270","Quick filter service name...","","uncovered","Quick filter service name","src/components/prices/QuickPriceCalculatorModal.tsx:340"
"1271","Quick Preset Icons / Badges:","","uncovered","Quick Preset Icons Badges","src/components/settings/SystemManagementSettingsModule.tsx:1334"
"1272","Rank","","uncovered","Rank","src/components/dashboard/TechnicianLeaderboardView.tsx:97"
"1273","Rate %","","uncovered","Rate","src/components/finance/ShopFinancePlModule.tsx:827"
"1274","Read-only analytic ticket roster filtered by repair stage, technician, and priority","","uncovered","Read only analytic ticket roster filtered by repair stage technician and priority","src/components/dashboard/DashboardOverview.tsx:1150"
"1275","Ready","","uncovered","Ready","src/components/qa/QualityAssuranceModule.tsx:279"
"1276","Ready for Pickup","","uncovered","Ready for Pickup","src/components/dashboard/DashboardOverview.tsx:719"
"1277","Ready Pickup","","uncovered","Ready Pickup","src/components/portal/CustomerFacingWebPortal.tsx:531"
"1278","Ready to auto-fill into Intake / Lookup","","uncovered","Ready to auto fill into Intake Lookup","src/components/common/CameraQrScannerModal.tsx:430"
"1279","Real Apple color finishes with realistic metallic reflections","","uncovered","Real Apple color finishes with realistic metallic reflections","src/components/intake/CreateTicketSoloPage.tsx:1354"
"1280","Real labor revenue + commission · baseline for reference · click a row for drill-down","","uncovered","Real labor revenue commission baseline for reference click a row drill down","src/components/dashboard/TechnicianLeaderboardView.tsx:75"
"1281","Real-time monitor flagging work orders nearing the end of their 90-day warranty window (within 14 days of expiry).","","uncovered","Real time monitor flagging work orders nearing the end of their day warranty window within days expiry","src/components/dashboard/DashboardOverview.tsx:1733"
"1282","Reason for Requesting Modification","","uncovered","Reason for Requesting Modification","src/components/portal/CustomerFacingWebPortal.tsx:1031"
"1283","Receipt & Voucher Header Subtitle","","uncovered","Receipt Voucher Header Subtitle","src/components/settings/SystemManagementSettingsModule.tsx:2792"
"1284","Reception","","uncovered","Reception","src/components/settings/SystemManagementSettingsModule.tsx:3708"
"1285","Record multimeter diode mode measurements, thermal camera hotspots, IC reballing logs, and ZXW schematic tags","","uncovered","Record multimeter diode mode measurements thermal camera hotspots IC reballing logs and ZXW schematic tags","src/components/microsoldering/MicroSolderingModule.tsx:90"
"1286","Record Payment","","uncovered","Record Payment","src/components/finance/ShopFinancePlModule.tsx:946"
"1287","Reference / Instructions:","","uncovered","Reference Instructions","src/components/pos/PosInvoicingModule.tsx:1053"
"1288","Rename folder","","uncovered","Rename folder","src/components/prices/PriceSettingsModal.tsx:1004"
"1289","Rename repair category labels or add new custom repair service definitions globally across all device price lists.","","uncovered","Rename repair category labels or add new custom service definitions globally across all device price lists","src/components/prices/PriceSettingsModal.tsx:741"
"1290","Rent, electricity, tools, marketing, and logistics expense logs","","uncovered","Rent electricity tools marketing and logistics expense logs","src/components/finance/ShopFinancePlModule.tsx:693"
"1291","Repair","","uncovered","Repair","src/components/crm/CrmCustomerPortalModule.tsx:242"
"1292","Repair Activity Log","","uncovered","Repair Activity Log","src/components/common/TicketDetailInspectorModal.tsx:388"
"1293","repair categories","","uncovered","repair categories","src/components/prices/PriceSettingsModal.tsx:1241"
"1294","Repair Categories (","","uncovered","Repair Categories","src/components/prices/PriceSettingsModal.tsx:463"
"1295","Repair category breakdown by tickets and revenue","","uncovered","Repair category breakdown by tickets and revenue","src/components/dashboard/DashboardOverview.tsx:1432"
"1296","Repair operations","","uncovered","Repair operations","src/components/Navigation.tsx:299"
"1297","Repair Outcome Summary & Diagnosis","","uncovered","Repair Outcome Summary Diagnosis","src/components/crm/CustomerRepairTimeline.tsx:370"
"1298","Repair Ticket","","uncovered","Repair Ticket","src/components/devices/DevicesManagementModule.tsx:488"
"1299","Repair ticket record","","uncovered","Repair ticket record","src/components/common/TicketDetailInspectorModal.tsx:443; src/components/intake/IntakeWorkOrderModule.tsx:855"
"1300","Repair Ticket Roster","","uncovered","Repair Ticket Roster","src/components/intake/IntakeWorkOrderModule.tsx:352"
"1301","Repair Ticket(s) Bottlenecked (&gt;48h in Queue)","","uncovered","Repair Ticket s Bottlenecked gt h in Queue","src/components/dashboard/DashboardOverview.tsx:1056"
"1302","Repair tickets that used/sold inventory parts will be listed here.","","uncovered","Repair tickets that used sold inventory parts will be listed here","src/components/finance/ShopFinancePlModule.tsx:1352"
"1303","repair(s)","","uncovered","repair s","src/components/intake/CreateTicketSoloPage.tsx:1561"
"1304","Repaired Service Summary","","uncovered","Repaired Service Summary","src/components/followup/CompletedDeviceFollowUpModule.tsx:606"
"1305","Repaired Services & Replaced Components:","","uncovered","Repaired Services Replaced Components","src/components/followup/CompletedDeviceFollowUpModule.tsx:468"
"1306","Repaired Services:","","uncovered","Repaired Services","src/components/followup/CompletedDeviceFollowUpModule.tsx:816"
"1307","Replaced Components & Labor:","","uncovered","Replaced Components Labor","src/components/devices/DevicesManagementModule.tsx:625"
"1308","Replacement screens, batteries, and logic board ICs needing reorder","","uncovered","Replacement screens batteries and logic board ICs needing reorder","src/components/dashboard/DashboardOverview.tsx:1538"
"1309","Reported issue","","uncovered","Reported issue","src/components/intake/IntakeWorkOrderModule.tsx:773"
"1310","Reported Symptom:","","uncovered","Reported Symptom","src/components/followup/CompletedDeviceFollowUpModule.tsx:511"
"1311","Reported Symptoms & Diagnostic Findings","","uncovered","Reported Symptoms Diagnostic Findings","src/components/portal/CustomerFacingWebPortal.tsx:606"
"1312","Reported Symptoms & Repair Scope","","uncovered","Reported Symptoms Repair Scope","src/components/common/PrintableInvoiceModal.tsx:315"
"1313","Require a passing QA inspection before ticket status can be transitioned to ""Ready for Pickup"".","","uncovered","Require a passing QA inspection before ticket status can be transitioned to Ready for Pickup","src/components/settings/SystemManagementSettingsModule.tsx:3276"
"1314","Require multimeter diode readings and IC replacement logs for L3 micro-soldering work orders.","","uncovered","Require multimeter diode readings and IC replacement logs for L micro soldering work orders","src/components/settings/SystemManagementSettingsModule.tsx:3289"
"1315","Required 50% Deposit:","","uncovered","Required Deposit","src/components/prices/QuickPriceCalculatorModal.tsx:613"
"1316","Requires attention","","uncovered","Requires attention","src/components/dashboard/DashboardOverview.tsx:1765"
"1317","Rescan","","uncovered","Rescan","src/components/common/CameraQrScannerModal.tsx:439"
"1318","Restoration Policy","","uncovered","Restoration Policy","src/components/settings/SystemManagementSettingsModule.tsx:3330"
"1319","Restore Ticket","","uncovered","Restore Ticket","src/components/common/RecycleBinModal.tsx:194"
"1320","Restored tickets return seamlessly to their active pipeline stage.","","uncovered","Restored tickets return seamlessly to their active pipeline stage","src/components/settings/SystemManagementSettingsModule.tsx:3332"
"1321","Retail Potential:","","uncovered","Retail Potential","src/components/finance/ShopFinancePlModule.tsx:559"
"1322","Retail Yield:","","uncovered","Retail Yield","src/components/inventory/InventoryManagementModule.tsx:1078"
"1323","Return Shipment Tracking #","","uncovered","Return Shipment Tracking","src/components/suppliers/SupplierRmaModule.tsx:463"
"1324","Review before saving","","uncovered","Review before saving","src/components/inventory/InventoryManagementModule.tsx:2503"
"1325","Reviewing live ERP data…","","uncovered","Reviewing live ERP data","src/components/ai/AiDiagnosticAssistantModal.tsx:513"
"1326","Right: After QA","","uncovered","Right After QA","src/components/pipeline/StatusPipelineView.tsx:925"
"1327","RMA days","","uncovered","RMA days","src/components/settings/SystemManagementSettingsModule.tsx:2464"
"1328","RMA Defective Returns","","uncovered","RMA Defective Returns","src/components/suppliers/SupplierRmaModule.tsx:179"
"1329","rma@mobilesentrix.com","","uncovered","rma mobilesentrix com","src/components/suppliers/SupplierRmaModule.tsx:553"
"1330","Rows affected","","uncovered","Rows affected","src/components/inventory/InventoryManagementModule.tsx:2521"
"1331","Sa","","uncovered","Sa","src/components/common/DateFilterSelector.tsx:320"
"1332","Sales Tax (","","uncovered","Sales Tax","src/components/common/PrintableInvoiceModal.tsx:431; src/components/pos/PosInvoicingModule.tsx:758; src/components/prices/QuickPriceCalculatorModal.tsx:602"
"1333","Sales Tax / Commercial VAT (%)","","uncovered","Sales Tax Commercial VAT","src/components/settings/SystemManagementSettingsModule.tsx:2096"
"1334","Satisfied","","uncovered","Satisfied","src/components/followup/CompletedDeviceFollowUpModule.tsx:306"
"1335","saved","","uncovered","saved","src/components/inventory/InventoryManagementModule.tsx:1763; src/components/inventory/InventoryManagementModule.tsx:1978"
"1336","Screen touch unresponsive / ghost touching","","uncovered","Screen touch unresponsive ghost touching","src/components/inventory/InventoryManagementModule.tsx:2183"
"1337","Sell","","uncovered","Sell","src/components/inventory/InventoryManagementModule.tsx:1885"
"1338","selling price","","uncovered","selling price","src/components/finance/ShopFinancePlModule.tsx:1284"
"1339","Send","","uncovered","Send","src/components/portal/CustomerFacingWebPortal.tsx:924"
"1340","Send a direct message to our technical team regarding work order","","uncovered","Send a direct message to our technical team regarding work order","src/components/portal/CustomerFacingWebPortal.tsx:880"
"1341","Send message","","uncovered","Send message","src/components/ai/AiDiagnosticAssistantModal.tsx:534; src/components/ai/AiDiagnosticAssistantModal.tsx:534"
"1342","Send via","","uncovered","Send via","src/components/common/CustomerNotificationModal.tsx:267"
"1343","Serial / IMEI","","uncovered","Serial IMEI","src/components/devices/DevicesManagementModule.tsx:408; src/components/intake/IntakeWorkOrderModule.tsx:722; src/components/portal/CustomerFacingWebPortal.tsx:1170"
"1344","Serial / IMEI:","","uncovered","Serial IMEI","src/components/common/PrintableInvoiceModal.tsx:302; src/components/portal/CustomerFacingWebPortal.tsx:437"
"1345","Serial Number","","uncovered","Serial Number","src/components/devices/DevicesManagementModule.tsx:710; src/components/intake/CreateTicketSoloPage.tsx:876"
"1346","Server environment key in use — no browser key required.","","uncovered","Server environment key in use no browser required","src/components/settings/SystemManagementSettingsModule.tsx:982"
"1347","Service History","","uncovered","Service History","src/components/devices/DevicesManagementModule.tsx:411"
"1348","Services Available","","uncovered","Services Available","src/components/prices/PriceCatalogModule.tsx:466"
"1349","services priced","","uncovered","services priced","src/components/devices/DeviceModelChooserModal.tsx:214"
"1350","Services:","","uncovered","Services","src/components/crm/CustomerRepairTimeline.tsx:387"
"1351","Set Warranty Globally","","uncovered","Set Warranty Globally","src/components/prices/PriceSettingsModal.tsx:1173"
"1352","Settled This Period","","uncovered","Settled This Period","src/components/finance/ShopFinancePlModule.tsx:1175"
"1353","SGD (S$ Singapore Dollar)","","uncovered","SGD S Singapore Dollar","src/components/settings/SystemManagementSettingsModule.tsx:2087"
"1354","Sheet generated","","uncovered","Sheet generated","src/components/inventory/InventoryManagementModule.tsx:2765"
"1355","Shop Logo","","uncovered","Shop Logo","src/components/Navigation.tsx:259; src/components/Navigation.tsx:285; src/components/common/PrintableInvoiceModal.tsx:218; src/components/pos/PosInvoicingModule.tsx:1315; src/components/settings/SystemManagementSettingsModule.tsx:2667"
"1356","Shop Logo Preview","","uncovered","Shop Logo Preview","src/components/settings/SystemManagementSettingsModule.tsx:1245; src/components/settings/SystemManagementSettingsModule.tsx:1252"
"1357","Shop Premises Rent","","uncovered","Shop Premises Rent","src/components/finance/ShopFinancePlModule.tsx:995"
"1358","Shop Rent, Utils, Tools, Mktg","","uncovered","Shop Rent Utils Tools Mktg","src/components/finance/ShopFinancePlModule.tsx:451"
"1359","Short","","uncovered","Short","src/components/pos/PosInvoicingModule.tsx:1228"
"1360","Short Code *","","uncovered","Short Code","src/components/inventory/InventoryManagementModule.tsx:2381; src/components/suppliers/SupplierRmaModule.tsx:525; src/components/suppliers/SupplierRmaModule.tsx:620"
"1361","Short:","","uncovered","Short","src/components/pos/PosInvoicingModule.tsx:976; src/components/pos/PosInvoicingModule.tsx:1093"
"1362","Sidebar Navigation","","uncovered","Sidebar Navigation","src/components/Navigation.tsx:334"
"1363","Skill Tier Level","","uncovered","Skill Tier Level","src/components/settings/SystemManagementSettingsModule.tsx:3424"
"1364","SKU / Code *","","uncovered","SKU Code","src/components/inventory/InventoryManagementModule.tsx:1679"
"1365","SKUs","","uncovered","SKUs","src/components/inventory/InventoryManagementModule.tsx:1107"
"1366","Social Media Ads","","uncovered","Social Media Ads","src/components/finance/ShopFinancePlModule.tsx:1000"
"1367","Soldering Tools & Fluke","","uncovered","Soldering Tools Fluke","src/components/finance/ShopFinancePlModule.tsx:998"
"1368","Spacious full-width roster for device intake, hardware diagnostics, and repair progress tracking","","uncovered","Spacious full width roster for device intake hardware diagnostics and repair progress tracking","src/components/intake/IntakeWorkOrderModule.tsx:256"
"1369","Specialty / Hardware Focus","","uncovered","Specialty Hardware Focus","src/components/settings/SystemManagementSettingsModule.tsx:3456"
"1370","Specialty:","","uncovered","Specialty","src/components/settings/SystemManagementSettingsModule.tsx:1939"
"1371","Spent","","uncovered","Spent","src/components/crm/CrmCustomerPortalModule.tsx:230"
"1372","Split Payment","","uncovered","Split Payment","src/components/pos/PosInvoicingModule.tsx:862"
"1373","Split Payment Breakdown (အကွဲပေးချေမှု)","","uncovered","Split Payment Breakdown","src/components/pos/PosInvoicingModule.tsx:877"
"1374","Square / Rectangular Design System","","uncovered","Square Rectangular Design System","src/components/settings/SystemManagementSettingsModule.tsx:1712"
"1375","staff ·","","uncovered","staff","src/components/dashboard/TechnicianPerformanceTab.tsx:142"
"1376","Standard A4 Workshop Sheet","","uncovered","Standard A Workshop Sheet","src/components/settings/SystemManagementSettingsModule.tsx:2743"
"1377","Standard Color","","uncovered","Standard Color","src/components/settings/SystemManagementSettingsModule.tsx:2928"
"1378","Standard Diagnostic Fee: 5,000 MMK","","uncovered","Standard Diagnostic Fee MMK","src/components/pos/PosInvoicingModule.tsx:579"
"1379","Standard Modular (parts-swap) jobs","","uncovered","Standard Modular parts swap jobs","src/components/settings/SystemManagementSettingsModule.tsx:3479"
"1380","Standard Single A4 Page","","uncovered","Standard Single A Page","src/components/settings/SystemManagementSettingsModule.tsx:2939"
"1381","Start Empty (N/A)","","uncovered","Start Empty N A","src/components/prices/PriceSettingsModal.tsx:649"
"1382","Start:","","uncovered","Start","src/components/dashboard/DashboardOverview.tsx:1941"
"1383","stock","","uncovered","stock","src/components/settings/SystemManagementSettingsModule.tsx:2558"
"1384","Storage Location Bin","","uncovered","Storage Location Bin","src/components/inventory/InventoryManagementModule.tsx:1761; src/components/inventory/InventoryManagementModule.tsx:1976"
"1385","Store details displayed on customer receipts, thermal vouchers, SMS notifications, and official invoices.","","uncovered","Store details displayed on customer receipts thermal vouchers SMS notifications and official invoices","src/components/settings/SystemManagementSettingsModule.tsx:1381"
"1386","Su","","uncovered","Su","src/components/common/DateFilterSelector.tsx:314"
"1387","Subtract one","","uncovered","Subtract one","src/components/inventory/InventoryManagementModule.tsx:1877"
"1388","Subtract one from stock","","uncovered","Subtract one from stock","src/components/inventory/InventoryManagementModule.tsx:1877"
"1389","Supabase database","","uncovered","Supabase database","src/components/common/OfflineSyncStatusBadge.tsx:88"
"1390","suppliers","","uncovered","suppliers","src/components/settings/SystemManagementSettingsModule.tsx:2457"
"1391","support@applerepairpro.com","","uncovered","support applerepairpro com","src/components/settings/SystemManagementSettingsModule.tsx:1476"
"1392","Symptoms Reported at Intake","","uncovered","Symptoms Reported at Intake","src/components/portal/CustomerFacingWebPortal.tsx:610"
"1393","Synced with active settings","","uncovered","Synced with active settings","src/components/settings/SystemManagementSettingsModule.tsx:1545"
"1394","Table","","uncovered","Table","src/components/intake/IntakeWorkOrderModule.tsx:276"
"1395","Tag","","uncovered","Tag","src/components/dashboard/DashboardOverview.tsx:1351"
"1396","Tax ID:","","uncovered","Tax ID","src/components/portal/CustomerFacingWebPortal.tsx:1153"
"1397","Tax:","","uncovered","Tax","src/components/portal/CustomerFacingWebPortal.tsx:789"
"1398","Tech KPIs","","uncovered","Tech KPIs","src/components/dashboard/DashboardOverview.tsx:808"
"1399","Tech Summary:","","uncovered","Tech Summary","src/components/followup/CompletedDeviceFollowUpModule.tsx:646"
